Country,Sex,Year,Age group,Mean height,Mean height lower 95% uncertainty interval,Mean height upper 95% uncertainty interval,Mean height standard error
Ireland,Boys,1985,5,113.4936444,110.6558719,116.4031323,1.467261803
Ireland,Boys,1985,6,119.6942863,117.0293808,122.4179048,1.390997835
Ireland,Boys,1985,7,125.4584193,122.8360295,128.1427083,1.357359508
Ireland,Boys,1985,8,130.9173278,128.3478705,133.583246,1.345508403
Ireland,Boys,1985,9,136.1929088,133.5648785,138.8310201,1.347336424
Ireland,Boys,1985,10,141.3978207,138.7198787,144.0403963,1.364372367
Ireland,Boys,1985,11,146.7297338,143.9918633,149.4298559,1.403407763
Ireland,Boys,1985,12,152.7245866,149.8372632,155.5453379,1.465824073
Ireland,Boys,1985,13,159.6124925,156.5574362,162.5955722,1.552751248
Ireland,Boys,1985,14,166.0341817,162.7467188,169.2737551,1.659637457
Ireland,Boys,1985,15,170.5925431,167.1108915,174.0747667,1.783937289
Ireland,Boys,1985,16,173.4882852,169.7536084,177.2178048,1.916768574
Ireland,Boys,1985,17,175.2545248,171.2651552,179.2176157,2.043407584
Ireland,Boys,1985,18,176.2952368,172.1167178,180.3912323,2.129781569
Ireland,Boys,1985,19,177.0730741,172.6274547,181.4429981,2.274157679
Ireland,Boys,1986,5,113.5687494,110.7777732,116.4856516,1.452281569
Ireland,Boys,1986,6,119.7758348,117.1400633,122.4811793,1.376196176
Ireland,Boys,1986,7,125.5399402,122.9390814,128.1828549,1.340020919
Ireland,Boys,1986,8,130.9905561,128.4752886,133.6173764,1.322794728
Ireland,Boys,1986,9,136.2589669,133.7431181,138.8270246,1.317719418
Ireland,Boys,1986,10,141.4670696,138.8658224,144.0300065,1.325032603
Ireland,Boys,1986,11,146.8114848,144.1790653,149.4456298,1.351153955
Ireland,Boys,1986,12,152.8257319,150.1129557,155.5370603,1.400410315
Ireland,Boys,1986,13,159.7300681,156.8547445,162.5808981,1.468754813
Ireland,Boys,1986,14,166.1560341,163.0812688,169.1778585,1.557937028
Ireland,Boys,1986,15,170.7326428,167.4578699,173.9582848,1.664058855
Ireland,Boys,1986,16,173.6144865,170.101958,177.1129461,1.780577971
Ireland,Boys,1986,17,175.3605356,171.6742824,179.0620704,1.890728935
Ireland,Boys,1986,18,176.3780705,172.5505632,180.1503984,1.957607125
Ireland,Boys,1986,19,177.1434875,173.0564902,181.165391,2.084203366
Ireland,Boys,1987,5,113.6209917,110.8468918,116.515021,1.436171591
Ireland,Boys,1987,6,119.8509398,117.2279195,122.5613118,1.358866331
Ireland,Boys,1987,7,125.6214887,123.0765072,128.2428969,1.322747074
Ireland,Boys,1987,8,131.072077,128.5715991,133.6617578,1.303010761
Ireland,Boys,1987,9,136.3321952,133.8756992,138.8890464,1.2922303
Ireland,Boys,1987,10,141.5331277,139.0316311,144.0579254,1.292598436
Ireland,Boys,1987,11,146.8807338,144.3088597,149.4136706,1.309011527
Ireland,Boys,1987,12,152.9074829,150.290251,155.5250036,1.34552591
Ireland,Boys,1987,13,159.8312134,157.0996697,162.5137995,1.401013602
Ireland,Boys,1987,14,166.2736097,163.396523,169.1024356,1.471595775
Ireland,Boys,1987,15,170.8544951,167.7962811,173.8908422,1.56032972
Ireland,Boys,1987,16,173.7545861,170.4873881,177.0103653,1.658336795
Ireland,Boys,1987,17,175.4867368,172.0907696,178.9444331,1.750699675
Ireland,Boys,1987,18,176.4840813,172.9795682,179.9811365,1.79734181
Ireland,Boys,1987,19,177.2263211,173.4796451,180.8776424,1.908075435
Ireland,Boys,1988,5,113.6472134,110.8857113,116.4950389,1.418202312
Ireland,Boys,1988,6,119.9031821,117.3111607,122.569895,1.34054471
Ireland,Boys,1988,7,125.6965937,123.1710433,128.2686615,1.303215337
Ireland,Boys,1988,8,131.1536255,128.7003556,133.7096123,1.283307634
Ireland,Boys,1988,9,136.4137161,133.984481,138.9298635,1.269947689
Ireland,Boys,1988,10,141.606356,139.1863173,144.0690063,1.264313771
Ireland,Boys,1988,11,146.9467919,144.4608813,149.4326857,1.273859122
Ireland,Boys,1988,12,152.9767318,150.4265814,155.5133401,1.300875774
Ireland,Boys,1988,13,159.9129644,157.2808347,162.519449,1.343710954
Ireland,Boys,1988,14,166.374755,163.6321521,169.0647927,1.401531386
Ireland,Boys,1988,15,170.9720707,168.1047453,173.8170169,1.471581005
Ireland,Boys,1988,16,173.8764384,170.8335508,176.9112923,1.552171987
Ireland,Boys,1988,17,175.6268364,172.4697591,178.7796367,1.624447831
Ireland,Boys,1988,18,176.6102825,173.3802794,179.7862703,1.648615632
Ireland,Boys,1988,19,177.3323319,173.8937118,180.6431898,1.743957995
Ireland,Boys,1989,5,113.6573073,110.9704526,116.4580116,1.397186767
Ireland,Boys,1989,6,119.9294038,117.3640846,122.5461785,1.320024444
Ireland,Boys,1989,7,125.748836,123.246068,128.2996914,1.282812135
Ireland,Boys,1989,8,131.2287305,128.810488,133.7223302,1.261577277
Ireland,Boys,1989,9,136.4952646,134.1180804,138.9857066,1.247802031
Ireland,Boys,1989,10,141.6878769,139.299732,144.1291927,1.239503182
Ireland,Boys,1989,11,147.0200202,144.5987585,149.4413584,1.242888152
Ireland,Boys,1989,12,153.0427899,150.5546221,155.505744,1.26321539
Ireland,Boys,1989,13,159.9822133,157.4389652,162.5137714,1.296754436
Ireland,Boys,1989,14,166.456506,163.8435145,168.9947706,1.341951679
Ireland,Boys,1989,15,171.073216,168.3343622,173.7788172,1.399140318
Ireland,Boys,1989,16,173.9940141,171.1558648,176.8508622,1.460571331
Ireland,Boys,1989,17,175.7486887,172.8025204,178.6975277,1.514185983
Ireland,Boys,1989,18,176.7503822,173.7670009,179.6637959,1.513230931
Ireland,Boys,1989,19,177.4585332,174.3101035,180.5132538,1.590892365
Ireland,Boys,1990,5,113.663687,110.9622074,116.3979663,1.374859589
Ireland,Boys,1990,6,119.9394977,117.4086709,122.509276,1.296362094
Ireland,Boys,1990,7,125.7750577,123.3156942,128.2767994,1.260025286
Ireland,Boys,1990,8,131.2809728,128.8666031,133.7416691,1.239070137
Ireland,Boys,1990,9,136.5703697,134.2263585,138.999684,1.223799466
Ireland,Boys,1990,10,141.7694254,139.418558,144.1617086,1.214934032
Ireland,Boys,1990,11,147.1015411,144.7554886,149.4519094,1.215645683
Ireland,Boys,1990,12,153.1160182,150.7234451,155.513259,1.229779163
